Year,Month,Temperature,State
2017,May,9.1,South Australia
2017,May,15.1,Queensland
2017,May,22.6,Northern Territory
2017,May,7.6,Tasmania
2018,May,2.2,Australian Captial Territory
2018,May,13.4,New South Wales
2018,May,8.9,Victoria
2018,May,10.3,Western Australia
2018,May,11.4,South Australia
2018,May,13.9,Queensland
2018,May,21.8,Northern Territory
2018,May,8.4,Tasmania
2019,May,3.3,Australian Captial Territory
2019,May,14.2,New South Wales
2019,May,8.9,Victoria
2019,May,8,Western Australia
2019,May,10.4,South Australia
2019,May,14.3,Queensland
2019,May,22.9,Northern Territory
2019,May,8.2,Tasmania
2020,May,2.8,Australian Captial Territory
2020,May,13.5,New South Wales
2020,May,7.1,Victoria
2020,May,9.2,Western Australia
2020,May,9.1,South Australia
2020,May,13.8,Queensland
2020,May,22.4,Northern Territory
2020,May,7.5,Tasmania
2021,May,2.6,Australian Captial Territory
2021,May,13.8,New South Wales
2021,May,7.3,Victoria
2021,May,11.5,Western Australia
2021,May,9.9,South Australia
2021,May,13.9,Queensland
2021,May,22,Northern Territory
2021,May,7.6,Tasmania
2022,May,4.4,Australian Captial Territory
2022,May,14.2,New South Wales
2022,May,7.8,Victoria
2022,May,10,Western Australia
2022,May,10.4,South Australia
2022,May,17,Queensland
2022,May,24,Northern Territory
2022,May,7.1,Tasmania
2023,May,0.8,Australian Captial Territory
2023,May,12.1,New South Wales
2023,May,7.4,Victoria
2023,May,10.1,Western Australia
2023,May,9.8,South Australia
2023,May,11.6,Queensland
2023,May,20.7,Northern Territory
2023,May,7.1,Tasmania
2010,June,0.6,Australian Captial Territory
2010,June,10.9,New South Wales
2010,June,6,Victoria
2010,June,7.4,Western Australia
2010,June,7.1,South Australia
2010,June,11.7,Queensland
2010,June,20.2,Northern Territory
2010,June,5,Tasmania
2011,June,0.7,Australian Captial Territory
2011,June,11.6,New South Wales
2011,June,6.2,Victoria
2011,June,10,Western Australia
2011,June,7.8,South Australia
2011,June,10.3,Queensland
2011,June,16.1,Northern Territory
2011,June,5.2,Tasmania
2012,June,0.6,Australian Captial Territory
2012,June,11,New South Wales
2012,June,5.9,Victoria
2012,June,10.1,Western Australia
2012,June,7.2,South Australia
2012,June,12.1,Queensland
2012,June,17.5,Northern Territory
2012,June,5.3,Tasmania
2013,June,1.6,Australian Captial Territory
2013,June,11.9,New South Wales
2013,June,5.8,Victoria
2013,June,7.8,Western Australia
2013,June,8.2,South Australia
2013,June,12.2,Queensland
2013,June,21.6,Northern Territory
2013,June,6.1,Tasmania
2014,June,2.8,Australian Captial Territory
2014,June,12.4,New South Wales
2014,June,8,Victoria
2014,June,7.5,Western Australia
2014,June,8.9,South Australia
2014,June,12.6,Queensland
2014,June,20,Northern Territory
2014,June,6.4,Tasmania
2015,June,-0.8,Australian Captial Territory
2015,June,11.3,New South Wales
2015,June,5.7,Victoria
2015,June,10,Western Australia
2015,June,8,South Australia
2015,June,12.5,Queensland
2015,June,21,Northern Territory
2015,June,5.3,Tasmania
2016,June,3,Australian Captial Territory
2016,June,12.2,New South Wales
2016,June,6.5,Victoria
2016,June,8.8,Western Australia
2016,June,9.2,South Australia
2016,June,13.1,Queensland
2016,June,23,Northern Territory
2016,June,6.5,Tasmania
2017,June,-1.4,Australian Captial Territory
2017,June,11.5,New South Wales
2017,June,5.4,Victoria
2017,June,8.6,Western Australia
2017,June,5.4,South Australia
2017,June,12.9,Queensland
2017,June,20,Northern Territory
2017,June,5.9,Tasmania
2018,June,1.8,Australian Captial Territory
2018,June,11,New South Wales
2018,June,5.3,Victoria
2018,June,8.9,Western Australia
2018,June,7.2,South Australia
2018,June,11.4,Queensland
2018,June,20.1,Northern Territory
2018,June,5.1,Tasmania
2019,June,-0.1,Australian Captial Territory
2019,June,11.4,New South Wales
2019,June,7,Victoria
2019,June,9.2,Western Australia
2019,June,7.6,South Australia
2019,June,12.4,Queensland
2019,June,19,Northern Territory
2019,June,5.5,Tasmania
2020,June,1.3,Australian Captial Territory
2020,June,11.9,New South Wales
2020,June,5.6,Victoria
2020,June,11.1,Western Australia
2020,June,6.8,South Australia
2020,June,12.5,Queensland
2020,June,21.1,Northern Territory
2020,June,5.7,Tasmania
2021,June,2,Australian Captial Territory
2021,June,11.2,New South Wales
2021,June,6.4,Victoria
2021,June,7.1,Western Australia
2021,June,9.2,South Australia
2021,June,11.5,Queensland
2021,June,21.1,Northern Territory
2021,June,6.8,Tasmania
2022,June,0.4,Australian Captial Territory
2022,June,10.9,New South Wales
2022,June,6.5,Victoria
2022,June,9.1,Western Australia
2022,June,9.6,South Australia
2022,June,10.5,Queensland
2022,June,21.6,Northern Territory
2022,June,5.8,Tasmania
2023,June,2.5,Australian Captial Territory
2023,June,11.6,New South Wales
2023,June,7.3,Victoria
