Year,Month,Temperature,State
2015,May,18.1,South Australia
2015,May,16.3,Australian Capital Territory
2016,May,27,Queensland
2016,May,15.6,Tasmania
2016,May,18.1,Victoria
2016,May,21.9,New South Wales
2016,May,33.5,Northern Territory
2016,May,20.8,Western Australia
2016,May,19.6,South Australia
2016,May,17.4,Australian Capital Territory
2017,May,24.7,Queensland
2017,May,14.7,Tasmania
2017,May,16.6,Victoria
2017,May,20.1,New South Wales
2017,May,32.9,Northern Territory
2017,May,22.9,Western Australia
2017,May,19,South Australia
2017,May,16.4,Australian Capital Territory
2018,May,24.8,Queensland
2018,May,15.8,Tasmania
2018,May,17.2,Victoria
2018,May,20.1,New South Wales
2018,May,32.7,Northern Territory
2018,May,24.2,Western Australia
2018,May,18.6,South Australia
2018,May,17.5,Australian Capital Territory
2019,May,24.9,Queensland
2019,May,15.8,Tasmania
2019,May,17.5,Victoria
2019,May,21.1,New South Wales
2019,May,32.3,Northern Territory
2019,May,22.5,Western Australia
2019,May,18.5,South Australia
2019,May,16.6,Australian Capital Territory
2020,May,24,Queensland
2020,May,15.5,Tasmania
2020,May,15.5,Victoria
2020,May,19.6,New South Wales
2020,May,32.1,Northern Territory
2020,May,22.1,Western Australia
2020,May,17.4,South Australia
2020,May,15,Australian Capital Territory
2021,May,23.9,Queensland
2021,May,15.7,Tasmania
2021,May,17.3,Victoria
2021,May,19.6,New South Wales
2021,May,32.7,Northern Territory
2021,May,22.4,Western Australia
2021,May,19.1,South Australia
2021,May,16.4,Australian Capital Territory
2022,May,23.8,Queensland
2022,May,15.1,Tasmania
2022,May,16.4,Victoria
2022,May,20.4,New South Wales
2022,May,33.6,Northern Territory
2022,May,22.2,Western Australia
2022,May,18.7,South Australia
2022,May,16.1,Australian Capital Territory
2023,May,24,Queensland
2023,May,15.5,Tasmania
2023,May,16.2,Victoria
2023,May,19.4,New South Wales
2023,May,32.2,Northern Territory
2023,May,22.4,Western Australia
2023,May,17.5,South Australia
2023,May,15,Australian Capital Territory
2010,June,23.8,Queensland
2010,June,15.6,Tasmania
2010,June,17.3,Victoria
2010,June,20.2,New South Wales
2010,June,32.3,Northern Territory
2010,June,22.2,Western Australia
2010,June,19.4,South Australia
2010,June,16.6,Australian Capital Territory
2011,June,23.4,Queensland
2011,June,14.9,Tasmania
2011,June,15.2,Victoria
2011,June,18.4,New South Wales
2011,June,30.8,Northern Territory
2011,June,23.6,Western Australia
2011,June,17.9,South Australia
2011,June,15.8,Australian Capital Territory
2012,June,24,Queensland
2012,June,15.4,Tasmania
2012,June,15.7,Victoria
2012,June,19.3,New South Wales
2012,June,31.1,Northern Territory
2012,June,23,Western Australia
2012,June,18,South Australia
2012,June,15.6,Australian Capital Territory
2013,June,23.3,Queensland
2013,June,16,Tasmania
2013,June,17.7,Victoria
2013,June,19.8,New South Wales
2013,June,32.7,Northern Territory
2013,June,21.7,Western Australia
2013,June,20.6,South Australia
2013,June,17.4,Australian Capital Territory
2014,June,25.1,Queensland
2014,June,15.6,Tasmania
2014,June,18.4,Victoria
2014,June,21.5,New South Wales
2014,June,32.7,Northern Territory
2014,June,21.3,Western Australia
2014,June,20.4,South Australia
2014,June,17.6,Australian Capital Territory
2015,June,24.5,Queensland
2015,June,14.6,Tasmania
2015,June,16.9,Victoria
2015,June,19.5,New South Wales
2015,June,32.6,Northern Territory
2015,June,21.4,Western Australia
2015,June,18.1,South Australia
2015,June,16.3,Australian Capital Territory
2016,June,27,Queensland
2016,June,15.6,Tasmania
2016,June,18.1,Victoria
2016,June,21.9,New South Wales
2016,June,33.5,Northern Territory
2016,June,20.8,Western Australia
2016,June,19.6,South Australia
2016,June,17.4,Australian Capital Territory
2017,June,24.7,Queensland
2017,June,14.7,Tasmania
2017,June,16.6,Victoria
2017,June,20.1,New South Wales
2017,June,32.9,Northern Territory
2017,June,22.9,Western Australia
2017,June,19,South Australia
2017,June,16.4,Australian Capital Territory
2018,June,24.8,Queensland
2018,June,15.8,Tasmania
2018,June,17.2,Victoria
2018,June,20.1,New South Wales
2018,June,32.7,Northern Territory
2018,June,24.2,Western Australia
2018,June,18.6,South Australia
